subject,stimulus,round,variant,window,signal,stat,value
R2-02,BOR,2,native,full,right_eye_dilation,mean,3.29176818658
R2-02,BOR,2,native,full,right_eye_dilation,median,3.229004
R2-02,BOR,2,native,full,right_eye_dilation,min,1.612305
R2-02,BOR,2,native,full,right_eye_dilation,sd,0.420516153878
R2-02,BOR,2,native,full,right_eye_dilation,slope,-5.1455203095e-05
R2-02,BOR,2,native,full,right_eye_dilation,third1,3.37253664288
R2-02,BOR,2,native,full,right_eye_dilation,third2,3.25898448944
R2-02,BOR,2,native,full,right_eye_dilation,third3,3.24378504841
R2-02,BOR,2,native,r1matched,cognitive_load,delta_last_first_third,0.0558263311688
R2-02,BOR,2,native,r1matched,cognitive_load,max,0.8794118
R2-02,BOR,2,native,r1matched,cognitive_load,mean,0.477266680346
R2-02,BOR,2,native,r1matched,cognitive_load,median,0.4860018
R2-02,BOR,2,native,r1matched,cognitive_load,min,0.1031903
R2-02,BOR,2,native,r1matched,cognitive_load,sd,0.152272302157
R2-02,BOR,2,native,r1matched,cognitive_load,slope,0.000182895018712
R2-02,BOR,2,native,r1matched,cognitive_load,third1,0.470504907143
R2-02,BOR,2,native,r1matched,cognitive_load,third2,0.432926504545
R2-02,BOR,2,native,r1matched,cognitive_load,third3,0.528038939355
R2-02,BOR,2,native,r1matched,eye_gaze_deviation,delta_last_first_third,-0.0303570794093
R2-02,BOR,2,native,r1matched,eye_gaze_deviation,max,0.656244219654
R2-02,BOR,2,native,r1matched,eye_gaze_deviation,mean,0.213038074756
R2-02,BOR,2,native,r1matched,eye_gaze_deviation,median,0.204523918409
R2-02,BOR,2,native,r1matched,eye_gaze_deviation,min,0.0154144598588
R2-02,BOR,2,native,r1matched,eye_gaze_deviation,sd,0.108436390529
R2-02,BOR,2,native,r1matched,eye_gaze_deviation,slope,-1.98775225769e-05
R2-02,BOR,2,native,r1matched,eye_gaze_deviation,third1,0.232349473071
R2-02,BOR,2,native,r1matched,eye_gaze_deviation,third2,0.204784951357
R2-02,BOR,2,native,r1matched,eye_gaze_deviation,third3,0.201980833178
R2-02,BOR,2,native,r1matched,eye_openness,third1,0.874490745196
R2-02,BOR,2,native,r1matched,eye_openness,third2,0.796169762294
R2-02,BOR,2,native,r1matched,eye_openness,third3,0.446221209983
R2-02,BOR,2,native,r1matched,hr,delta_last_first_third,
R2-02,BOR,2,native,r1matched,hr,max,
R2-02,BOR,2,native,r1matched,hr,mean,
R2-02,BOR,2,native,r1matched,hr,median,
R2-02,BOR,2,native,r1matched,hr,min,
R2-02,BOR,2,native,r1matched,hr,sd,
R2-02,BOR,2,native,r1matched,hr,slope,
R2-02,BOR,2,native,r1matched,hr,third1,
R2-02,BOR,2,native,r1matched,hr,third2,
R2-02,BOR,2,native,r1matched,hr,third3,
R2-02,BOR,2,native,r1matched,left_eye_dilation,delta_last_first_third,-0.293146374151
R2-02,BOR,2,native,r1matched,left_eye_dilation,max,4.836273
R2-02,BOR,2,native,r1matched,left_eye_dilation,mean,3.47132464146
R2-02,BOR,2,native,r1matched,left_eye_dilation,median,3.462753
R2-02,BOR,2,native,r1matched,left_eye_dilation,min,1.480179
R2-02,BOR,2,native,r1matched,left_eye_dilation,sd,0.405743659254
R2-02,BOR,2,native,r1matched,left_eye_dilation,slope,-0.000728404569256
R2-02,BOR,2,native,r1matched,left_eye_dilation,third1,3.60776659218
R2-02,BOR,2,native,r1matched,left_eye_dilation,third2,3.49162597116
